,Phone_name,Links
0,"Mi 11X (Lunar White, 128 GB)",https://www.flipkart.com/mi-11x-lunar-white-128-gb/p/itmabc334b32f605?pid=MOBG36HSY24GH7GD&lid=LSTMOBG36HSY24GH7GDIUIJDW&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG36HSY24GH7GD.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
1,"Mi 11X (Celestial Silver, 128 GB)",https://www.flipkart.com/mi-11x-celestial-silver-128-gb/p/itmabc334b32f605?pid=MOBG36HS35CRRBHF&lid=LSTMOBG36HS35CRRBHF7TCTEM&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG36HS35CRRBHF.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
2,"Mi 11X (Lunar White, 128 GB)",https://www.flipkart.com/mi-11x-lunar-white-128-gb/p/itmabc334b32f605?pid=MOBG36HS9EMQYJEW&lid=LSTMOBG36HS9EMQYJEW5R18R3&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG36HS9EMQYJEW.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
3,"Mi 11X (Cosmic Black, 128 GB)",https://www.flipkart.com/mi-11x-cosmic-black-128-gb/p/itmabc334b32f605?pid=MOBG36HSAGKKEVWV&lid=LSTMOBG36HSAGKKEVWVKSXXTG&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG36HSAGKKEVWV.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
4,"Mi 11X (Celestial Silver, 128 GB)",https://www.flipkart.com/mi-11x-celestial-silver-128-gb/p/itmabc334b32f605?pid=MOBG36HSCATHM2Y8&lid=LSTMOBG36HSCATHM2Y8HYWMMQ&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG36HSCATHM2Y8.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
5,"Mi 11X (Cosmic Black, 128 GB)",https://www.flipkart.com/mi-11x-cosmic-black-128-gb/p/itm005c4d8bec540?pid=MOBG36HS3TH4YR3G&lid=LSTMOBG36HS3TH4YR3G7QOO9J&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG36HS3TH4YR3G.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
6,"REDMI 10 (Pacific Blue, 64 GB)",https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW81W5E0&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
7,"REDMI 10 (Midnight Black, 64 GB)",https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4EOWOH9V&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
8,"REDMI 10 (Caribbean Green, 64 GB)",https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
9,"REDMI Note 11 SE (Bifrost Blue, 64 GB)",https://www.flipkart.com/redmi-note-11-se-bifrost-blue-64-gb/p/itm932a7d75da56c?pid=MOBGHBKHGMBWQCHE&lid=LSTMOBGHBKHGMBWQCHESERT3C&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGHBKHGMBWQCHE.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
10,"REDMI 9 Activ (Carbon Black, 64 GB)",https://www.flipkart.com/redmi-9-activ-carbon-black-64-gb/p/itm329ae4068c8e8?pid=MOBG78A4FDDGCXGX&lid=LSTMOBG78A4FDDGCXGXZA6PXO&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG78A4FDDGCXGX.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
11,"REDMI 9 Activ (Metallic Purple, 64 GB)",https://www.flipkart.com/redmi-9-activ-metallic-purple-64-gb/p/itm329ae4068c8e8?pid=MOBG7F5HVHHNVXGK&lid=LSTMOBG7F5HVHHNVXGK55GQIN&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG7F5HVHHNVXGK.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
12,"REDMI 10 Prime (Phantom Black, 128 GB)",https://www.flipkart.com/redmi-10-prime-phantom-black-128-gb/p/itm9377b4c936baa?pid=MOBG6RGPPXQFYJ4R&lid=LSTMOBG6RGPPXQFYJ4RW9POLT&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG6RGPPXQFYJ4R.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
13,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-pacific-pearl-128-gb/p/itm495eaae251d5b?pid=MOBG9QWVHHSZS9HY&lid=LSTMOBG9QWVHHSZS9HYNDYZZG&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG9QWVHHSZS9HY.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
14,"REDMI Note 11 SE (Thunder Purple, 64 GB)",https://www.flipkart.com/redmi-note-11-se-thunder-purple-64-gb/p/itmce37fc2eb4f23?pid=MOBGHBKHFEZDAGRK&lid=LSTMOBGHBKHFEZDAGRK96PWO1&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGHBKHFEZDAGRK.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
15,"REDMI 9 Activ (Metallic Purple, 128 GB)",https://www.flipkart.com/redmi-9-activ-metallic-purple-128-gb/p/itm402b05b1ff23f?pid=MOBG7F5HFKDM23Q8&lid=LSTMOBG7F5HFKDM23Q81VKLPB&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBG7F5HFKDM23Q8.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
16,"REDMI Note 11 SE (Cosmic White, 64 GB)",https://www.flipkart.com/redmi-note-11-se-cosmic-white-64-gb/p/itm894dab106a9b1?pid=MOBGHBKHJFCAHP7C&lid=LSTMOBGHBKHJFCAHP7CNCDBBV&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGHBKHJFCAHP7C.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
17,"REDMI Note 10T 5G (Mint Green, 128 GB)",https://www.flipkart.com/redmi-note-10t-5g-mint-green-128-gb/p/itm9aa44a6740f67?pid=MOBGC7QFT9EAHMFF&lid=LSTMOBGC7QFT9EAHMFFJ6VSAP&marketplace=FLIPKART&q=mi+11x&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_ps&fm=organic&iid=a7813197-e669-4ed6-bd75-b6924761508f.MOBGC7QFT9EAHMFF.SEARCH&ppt=None&ppn=None&ssid=59rm8vihuo0000001664896139462&qH=a6883ff534daed84
